Frame,Tracking_ID,Class,X_Center,Y_Center,Width,Height
29,1707,person,400.0,530.27,57.7,155.3
29,1708,person,287.33,548.66,53.46,137.06
29,1709,traffic light,113.09,160.63,37.01,75.32
29,1710,person,881.04,544.1,37.37,96.29
29,1711,person,1116.92,520.65,40.61,110.0
29,1713,person,1167.39,536.19,40.73,110.83
29,1714,person,718.41,507.82,28.18,90.04
29,1715,person,1047.48,526.99,44.32,105.85
29,1717,person,821.83,530.94,40.03,116.91
29,1720,traffic light,1002.64,349.35,23.27,37.53
29,1721,person,670.94,492.55,19.46,54.79
29,1712,person,515.72,541.58,49.05,145.11
29,1723,person,1155.35,534.65,28.98,113.75
29,1788,person,436.18,507.1,33.02,93.04
29,1718,motorcycle,456.71,580.26,63.7,103.45
29,1716,traffic light,203.28,330.97,26.24,105.92
29,1724,person,477.87,532.01,55.8,147.1
30,1706,traffic light,842.35,251.84,29.39,97.62
30,1707,person,400.53,530.59,58.38,156.88
30,1708,person,287.58,548.74,53.25,136.59
30,1709,traffic light,113.01,160.66,37.15,75.3
30,1710,person,881.64,544.12,37.81,97.29
30,1711,person,1116.6,520.69,40.98,111.45
30,1713,person,1167.81,536.64,40.43,110.09
30,1714,person,718.8,507.65,28.74,91.26
30,1715,person,1047.37,526.69,44.43,106.39
30,1717,person,822.78,530.61,40.48,117.13
30,1720,traffic light,1002.69,348.84,22.77,36.49
30,1721,person,670.68,492.68,19.28,54.34
30,1712,person,513.72,541.7,50.0,146.4
30,1723,person,1155.45,535.23,28.57,112.9
30,1718,motorcycle,454.78,578.85,65.79,107.64
30,1724,person,476.68,532.46,54.64,145.2
31,1706,traffic light,842.31,251.87,29.37,97.6
31,1707,person,400.71,530.27,58.63,157.37
31,1708,person,287.66,548.92,53.14,136.44
31,1709,traffic light,112.97,160.63,37.29,75.25
31,1710,person,881.78,543.9,38.2,98.03
31,1711,person,1116.19,520.99,41.26,112.93
31,1713,person,1168.11,536.92,40.38,109.99
31,1714,person,719.17,507.69,29.05,91.79
31,1715,person,1047.44,526.54,44.63,107.58
31,1717,person,823.11,530.16,40.8,117.08
31,1720,traffic light,1002.72,348.65,22.66,36.12
31,1721,person,670.51,492.01,19.8,55.53
31,1712,person,512.56,541.9,50.33,146.15
31,1723,person,1155.43,535.2,28.07,111.89
31,1718,motorcycle,454.36,581.88,62.57,102.48
31,1803,person,741.87,506.76,20.28,79.45
32,1706,traffic light,842.32,251.89,29.35,97.57
32,1707,person,401.04,530.16,58.9,157.92
32,1708,person,287.76,548.97,53.16,136.67
